unread,CO2_unread,recipients,CO2_recipients,cc,CO2_cc,image,CO2_image,documents,CO2_document,words,CO2_words,links,CO2_links
0,0.03,0,0.3,0,0.03,0,0,0,0,45.48,22.74,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,42.016,21.008,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,31.092,15.546,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,53.024,26.512,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,4.924,2.462,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,4.364,2.182,0,0
0,0.03,1,26,0,0.03,0,0,0,0,19.348,9.674,1,0.2
0,0.03,1,26,1,0.3,1,50,1,50,29.684,14.842,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,12.204,6.102,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,10.572,5.286,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,3.476,1.738,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,16.08,8.04,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,41.836,20.918,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,60.3,30.15,1,0.2
0,0.03,0,0.3,2,0.6,0,0,0,0,78.772,39.386,1,0.2
0,0.03,0,0.3,1,0.3,0,0,0,0,73.52,36.76,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,72.148,36.074,1,0.2
0,0.03,0,0.3,2,0.6,0,0,0,0,55.56,27.78,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,2.384,1.192,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,18.24,9.12,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,8.768,4.384,1,0.2
0,0.03,0,0.3,0,0.03,2,100,2,100,45.812,22.906,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,66.588,33.294,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,0.8,0.4,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,19.752,9.876,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,8.912,4.456,0,0
0,0.03,0,0.3,1,0.3,0,0,0,0,15.836,7.918,0,0
0,0.03,0,0.3,2,0.6,0,0,0,0,18.196,9.098,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,2.024,1.012,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,8.828,4.414,1,0.2
0,0.03,0,0.3,2,0.6,0,0,1,50,0.94,0.47,0,0
0,0.03,1,26,2,0.6,0,0,0,0,31.252,15.626,0,0
0,0.03,1,26,2,0.6,0,0,0,0,42.456,21.228,0,0
0,0.03,1,26,3,,0,0,0,0,126.576,63.288,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,6.264,3.132,0,0
0,0.03,0,0.3,1,0.3,0,0,0,0,183.368,91.684,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,9.268,4.634,0,0
0,0.03,1,26,1,0.3,0,0,0,0,55.152,27.576,0,0
0,0.03,1,26,0,0.03,0,0,0,0,8.784,4.392,1,0.2
0,0.03,0,0.3,4,,0,0,0,0,45.752,22.876,0,0
0,0.03,0,0.3,5,,0,0,0,0,49.072,24.536,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,6.164,3.082,0,0
0,0.03,1,26,1,0.3,0,0,0,0,133.804,66.902,1,0.2
0,0.03,0,0.3,6,,0,0,0,0,53.064,26.532,0,0
0,0.03,0,0.3,7,,0,0,0,0,1.336,0.668,0,0
0,0.03,1,26,0,0.03,0,0,0,0,183.864,91.932,1,0.2
0,0.03,1,26,2,0.6,0,0,0,0,34.872,17.436,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,5.928,2.964,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,34.196,17.098,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,57.724,28.862,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,96.668,48.334,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,4.572,2.286,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,62.068,31.034,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,38.14,19.07,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,56.964,28.482,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,3.912,1.956,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,29.888,14.944,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,5.592,2.796,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,31.168,15.584,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,3.912,1.956,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,40.36,20.18,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,20.636,10.318,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,119.924,59.962,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,75.78,37.89,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,61.68,30.84,1,0.2
0,0.03,1,26,0,0.03,0,0,0,0,8.072,4.036,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,3.952,1.976,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,0.636,0.318,0,0
0,0.03,0,0.3,0,0.03,0,0,0,0,11.312,5.656,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,89.572,44.786,1,0.2
0,0.03,0,0.3,0,0.03,0,0,0,0,31.376,15.688,1,0.2
